date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:55	368668/368668	---MCZ	200	added ('OK')	text/html	etag:cacheable:1d4ff629d191f67a923ffd210f5a6f87	https://petica-demo-01.myshopify.com/	E:/Template/ECOMER/petica-demo-01.myshopify.com/index.html	(from )
16:21:56	411/411	---MCZ	200	added ('OK')	text/plain	etag:cacheable:dd62519ade96f348dc518173bc179863	https://petica-demo-01.myshopify.com/robots.txt		(from )
16:21:57	188615/188615	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Aug%202019%2010:26:43%20GMT	http://cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/plugin.css?3457	E:/Template/ECOMER/cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/plugine1fc.css	(from https://petica-demo-01.myshopify.com/)
16:21:58	164572/164572	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202019%2009:21:58%20GMT	http://cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/theme-styles.scss.css?3457	E:/Template/ECOMER/cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/theme-styles.scsse1fc.css	(from https://petica-demo-01.myshopify.com/)
16:22:00	39374/39374	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202019%2009:21:59%20GMT	http://cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/theme-styles-responsive.scss.css?3457	E:/Template/ECOMER/cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/theme-styles-responsive.scsse1fc.css	(from https://petica-demo-01.myshopify.com/)
16:22:01	97522/97522	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Aug%202019%2010:26:41%20GMT	http://cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/jquery.min.js?3457	E:/Template/ECOMER/cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/jquery.mine1fc.js	(from https://petica-demo-01.myshopify.com/)
16:22:02	1139/1139	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Aug%202019%2010:26:39%20GMT	http://cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/jquery-cookie.min.js?3457	E:/Template/ECOMER/cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/jquery-cookie.mine1fc.js	(from https://petica-demo-01.myshopify.com/)
16:22:03	41006/41006	---M--	200	added ('OK')	image/gif	date:Tue,%2005%20Nov%202019%2009:22:01%20GMT	http://cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/loading-icon.gif?3457	E:/Template/ECOMER/cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/loading-icone1fc.gif	(from https://petica-demo-01.myshopify.com/)
16:22:03	14134/14134	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Aug%202019%2010:26:42%20GMT	http://cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/lang2.js?3457	E:/Template/ECOMER/cdn.shopify.com/s/files/1/0129/6341/4075/t/34/assets/lang2e1fc.js	(from https://petica-demo-01.myshopify.com/)
16:22:03	50364/50364	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2030%20Oct%202019%2013:43:46%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2017.09.05.1	E:/Template/ECOMER/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min97e4.js	(from https://petica-demo-01.myshopify.com/)
16:22:04	106950/106950	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2031%20Oct%202019%2022:27:22%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/boomerang-latest.min.js	E:/Template/ECOMER/cdn.shopify.com/shopifycloud/boomerang/boomerang-latest.min.js	(from https://petica-demo-01.myshopify.com/)
16:22:05	6293/6293	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2007%20Oct%202019%2021:42:15%20GMT	http://cdn.shopify.com/s/assets/shop_events_listener-17b815ecd2d75d5d3ec1b7a2a59daadee017bd9097e9b4629937b0a78cf0ecaa.js	E:/Template/ECOMER/cdn.shopify.com/s/assets/shop_events_listener-17b815ecd2d75d5d3ec1b7a2a59daadee017bd9097e9b4629937b0a78cf0ecaa.js	(from https://petica-demo-01.myshopify.com/)
